id,name,date,region,country,division,location,divergence,clade,pango lineage,emerging lineage,S1 mutations,current frequency,logistic growth,mutational fitness,submitting lab,originating lab,numdate
5204,hCoV-19USAVA-CDC-QDX370098552022,20220515,North America,USA,Virginia,,71.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1563323,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery",Quest Diagnostics Incorporated,2.3685303
5203,hCoV-19CostaRicaINC-4714-7565902022,20220525,North America,Costa Rica,Heredia,Sarapiqui,74.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.150427,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Area De Salud Puerto Viejo-Sarapiqui,2.395874
5202,hCoV-19MexicoAGU_ISSEA-Lesp-17672-S342022,20220509,North America,Mexico,Aguascalientes,Aguascalientes,70.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1564271,LESP Aguascalientes,Hospital General ISSSTE,2.3520508
5201,hCoV-19Guatemala4599-LNS2022,20220427,North America,Guatemala,Retalhuleu,,75.0,21L (Omicron),BA.2.9,21L (Omicron),24.0,0.0,0.0,2.116633,"Laboratorio Nacional de Salud (LNS), Guatemala","Laboratorio Nacional de Salud (LNS), Guatemala",2.3192139
5200,hCoV-19CostaRicaINC-4169-7529702022,20220422,North America,Costa Rica,Cartago CR,Turrialba,72.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1536438,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",HOSPITAL DR. WILLIAM ALLEN,2.30542
5198,hCoV-19MexicoYUC_IBT_IMSS_74022022,20220524,North America,Mexico,Yucatan,,74.0,21L (Omicron),BA.2,21L (Omicron),26.0,0.0,0.0,2.115277,Instituto de Biotecnología de la UNAM,Unidad de Investigación Médica de Yucatán (UIMY),2.3931885
5197,hCoV-19MexicoYUC_LANGEBIO_IMSS_65352022,20220516,North America,Mexico,Yucatan,,74.0,21L (Omicron),BA.2.9,21L (Omicron),26.0,0.0,0.0,2.115277,Unidad de Genomica Avanzada,Unidad de Investigacion Medica de Yucatan (UIMY),2.3712158
5196,hCoV-19MexicoROO-INMEGEN-77-132022,20220615,North America,Mexico,Quintana Roo,,79.0,21L (Omicron),BA.2,21L (Omicron),26.0,0.0,0.0,2.094103,Instituto Nacional de Medicina Genomica,SALUD DIGNA,2.4533691
5194,hCoV-19MexicoTLA_InDRE_FB14057_E29316747590_S132282022,20220426,North America,Mexico,Tlaxcala,,70.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.121234,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),LESP Tlaxcala,2.3164062
5193,hCoV-19USAMN-ASC-2107271932022,20220414,North America,USA,Minnesota,Saint Louis Park,72.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.135924,Aegis Sciences Corporation,Aegis Sciences Corporation,2.2835693
5191,hCoV-19Panama1317-GMI2022,20220609,North America,Panama,Veraguas,,78.0,21L (Omicron),XAM,21L (Omicron),24.0,0.0,0.0,2.0359733,Gorgas Memorial Institute of Health Studies,Gorgas Memorial Institute of Health Studies,2.4370117
5190,hCoV-19BrazilRS-705-66281-8892022,20220621,South America,Brazil,Rio Grande do Sul,,82.0,21L (Omicron),XAG,21L (Omicron),25.0,0.0,0.0,2.029449,LABIOMIC – Laboratório de Bioinformática aplicada a Microbiologia Clínica,LABIOMIC – Laboratório de Bioinformática aplicada a Microbiologia Clínica,2.4698486
5188,hCoV-19GermanyHH-RKI-I-8552142022,20220513,Europe,Germany,Hamburg,,72.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.118223,Robert Koch Institute,Sonic - Labor Dr. von Froreich GmbH,2.363037
5187,hCoV-19PanamaSEQ1242-GMI2022,20220526,North America,Panama,Colon Province,,75.0,21L (Omicron),BA.2.9,21L (Omicron),22.0,0.0,0.0,2.0736098,Gorgas Memorial Institute of Health Studies,Gorgas Memorial Institute of Health Studies,2.3986816
5186,hCoV-19VenezuelaCar92212022,20220607,South America,Venezuela,Carabobo,,73.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.115234,Laboratorio de Virologia Molecular,IVIC,2.4315186
5185,hCoV-19MexicoMIC_InDRE_FB17597_E17317684796_S141642022,20220704,North America,Mexico,Michoacan,,72.0,21L (Omicron),BA.2.9,21L (Omicron),26.0,0.0,0.0,2.2075741,Instituto de Diagnostico y Referencia Epidemiologicos (INDRE),LESP Michoacan,2.5054932
5179,hCoV-19DenmarkDCGC-4396212022,20220311,Europe,Denmark,Nordjylland,,67.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.124234,Statens Serum Institut Bioinformatics and Microbial Genomics,"Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark",2.1904297
5178,hCoV-19USATX-ASC-2107690142022,20220426,North America,USA,Texas,,69.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.121234,Aegis Sciences Corporation,Aegis Sciences Corporation,2.3164062
5177,hCoV-19Sweden55135114192022,20220322,Europe,Sweden,Vasterbotten,,68.0,21L (Omicron),BA.2,21L (Omicron),25.0,0.0,0.0,2.121234,The Public Health Agency of Sweden,Swedish national genomic surveillance program of SARS-CoV-2,2.220581
5176,hCoV-19MontenegroCO-00688_MNE000_16223622022022,20220419,Europe,Montenegro,Bar,,69.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.124234,Eurofins Genomics Europe Sequencing GmbH,"Laboratory for Molecular Diagnostics,IPHMN",2.2972412
5175,hCoV-19USADC-CDC-LC05641482022,20220316,North America,USA,Washington DC,,68.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.124234,"Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery",Laboratory Corporation of America,2.2041016
5174,hCoV-19ArgentinaINEI1202472022,20220404,South America,Argentina,Tucuman,,69.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.121234,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Servicio Virosis Respiratorias-Departamento Virología-INEI,2.2561035
5172,hCoV-19USADC-DFS-PHL-066062022,20220412,North America,USA,Washington DC,,69.0,21L (Omicron),BA.2.9,21L (Omicron),24.0,0.0,0.0,2.0814922,DC Public Health Lab Dept. of Forensic Sciences,DC Public Health Lab Dept. of Forensic Sciences,2.2780762
5171,hCoV-19GermanyBY-RKI-I-7037382022,20220330,Europe,Germany,Bavaria,,71.0,21L (Omicron),BA.2.9,21L (Omicron),24.0,0.0,0.0,2.0927074,Robert Koch Institute,SYNLAB MVZ Weiden,2.2424316
5170,hCoV-19ItalyCAM-TIGEM-IZSM-COLLI-330392022,20220328,Europe,Italy,Campania,,70.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1210153,TIGEM,Ospedale Santa Maria delle Grazie,2.2369385
5169,hCoV-19GuadeloupeIPP230882022,20220321,North America,Guadeloupe,Baie-Mahault,,70.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1346605,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Outre Mer,2.2177734
5168,hCoV-19MontenegroCO-00688_MNE000_16222122022022,20220319,Europe,Montenegro,Bar,,70.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.121479,Eurofins Genomics Europe Sequencing GmbH,"Laboratory for Molecular Diagnostics,IPHMN",2.2122803
5166,hCoV-19LithuaniaLTU000_MEDPRAC_KT22m2022,20220427,Europe,Lithuania,Kauno Apskritis,,71.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1212523,National Public Health Surveillance Laboratory,UAB Medicina practica laboratorija,2.3192139
5165,hCoV-19PuertoRicoPR-ASC-2107283832022,20220414,North America,Puerto Rico,Hormigueros,,76.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1299891,Aegis Sciences Corporation,Aegis Sciences Corporation,2.2835693
5164,hCoV-19PolandWSSEGorzow-22S21812022,20220303,Europe,Poland,Zachodniopomorskie,,69.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1242523,Wojewodzka Stacja Sanitarno-Epidemiologiczna w Gorzowie Wielkopolskim,Diagnostyka Sp. z o. o. Szczecin,2.168457
5163,hCoV-19GermanyNI-RKI-I-8223952022,20220511,Europe,Germany,Niedersachsen,,71.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1182523,Robert Koch Institute,Medizinisches Versorgungszentrum Göttingen (MVZ) Kinderwunschzentrum Zentrum für Labordiagnostik Institut für Pathologie und Zytologie,2.357544
5162,hCoV-19Bermuda1536722022,20220429,North America,Bermuda,Bermuda,,73.0,21L (Omicron),BA.2.9,21L (Omicron),25.0,0.0,0.0,2.1211717,CARPHA,Department of Health,2.324707
