id,name,date,region,country,division,location,divergence,clade,pango lineage,emerging lineage,S1 mutations,current frequency,logistic growth,mutational fitness,submitting lab,originating lab,numdate
19,hCoV-19/Finland/1/2020,2020/01/30,Europe,Finland,Finland,Rovaniemi,0.0,19A,B,19A,0.0,0.0,0.0,0.0,"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland",Lapland Central Hospital,0.07788086
18,hCoV-19/Japan/OS-20-07-1/2020,2020/01/24,Asia,Japan,Osaka,,0.0,19A,B,19A,0.0,0.0,0.0,0.0,"Pathogen Genomics Center, National Institute of Infectious Diseases","Dept. of Pathology, National Institute of Infectious Diseases",0.061523438
17,hCoV-19/Thailand/NIH-59/2020,2020/01/17,Asia,Thailand,Nonthaburi,,0.0,19A,B,19A,0.0,0.0,0.0,0.0,"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand",Bamrasnaradura hospital,0.0423584
2,hCoV-19/Wuhan/IME-WH05/2019,2020/01/01,Asia,China,Hubei,Wuhan,0.0,19A,B,19A,0.0,0.0,0.0,0.0,Beijing Institute of Microbiology and Epidemiology,Beijing Institute of Microbiology and Epidemiology,-0.0041503906
0,hCoV-19/Wuhan/Hu-1/2019,2019/12/28,Asia,China,Hubei,Wuhan,0.0,19A,B,19A,0.0,0.0,0.0,0.0,National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC),National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC),-0.015014648
26,hCoV-19/Australia/NSW10/2020,2020/02/29,Oceania,Australia,New South Wales,Sydney,1.0,19A,B,19A,0.0,0.0,0.0,-0.003,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney,Centre for Infectious Diseases and Microbiology - Public Health,0.15979004
20,hCoV-19/UnitedArabEmirates/L1014/2020,2020/03/16,Asia,United Arab Emirates,United Arab Emirates,,1.0,19A,B,19A,0.0,0.0,0.0,0.0377939,Al Jalila Genomics Center,Mohammed Bin Rashid University of Medicine and Health Sciences,0.20349121
16,hCoV-19/Germany/BY-IMB00331/2020,2020/02/04,Europe,Germany,Bavaria,Munich,1.0,19A,B,19A,0.0,0.0,0.0,-0.003,Bundeswehr Institute of Microbiology,Bundeswehr Institute of Microbiology,0.091552734
11,hCoV-19/Cambodia/0012/2020,2020/01/28,Asia,Cambodia,Sihanoukville,,1.0,19A,B,19A,0.0,0.0,0.0,-1.54369E-04,"Virology Unit, Institut Pasteur du Cambodge (Sequencing done by: Jessica E Manning/Jennifer A Bohl at Malaria and Vector Research Research Laboratory, National Institute of Allergy and Infectious Diseases and Vida Ahyong from Chan-Zuckerberg Biohub)","Virology Unit, Institut Pasteur du Cambodge.",0.072387695
6,hCoV-19/Singapore/3Clin/2020,2020/01/30,Asia,Singapore,Singapore,Singapore,1.0,19A,B,19A,0.0,0.0,0.0,-0.003,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",0.07788086
